label,centroid-0,centroid-1,area,axis_major_length,axis_minor_length,aspect_ratio,image_id,image_name,rice_count
1,63.30549898167006,581.2484725050916,491.0,36.12760060582934,17.505940398610896,2.0637337831160494,4,4.jpg,
2,124.34206471494608,627.6286594761172,649.0,39.13845606211205,21.229494154471507,1.8435887250694774,4,4.jpg,
3,179.82768777614137,701.6833578792342,679.0,38.26146228758242,22.773691788293668,1.6800728947798402,4,4.jpg,
4,196.45103092783506,716.0,388.0,28.181535382373696,17.619980899518463,1.5994078281403739,4,4.jpg,
5,219.46932515337423,543.1625766871166,326.0,28.88502720592316,14.594395856315007,1.9791862225954755,4,4.jpg,
6,217.7087517934003,583.3285509325682,697.0,38.1256845991953,23.40956653631276,1.6286369309767015,4,4.jpg,
7,224.74844720496895,281.860248447205,644.0,35.863044021948134,22.962466953091543,1.5618114593353711,4,4.jpg,
8,232.0066371681416,939.2190265486726,904.0,39.45322042281423,29.247538258874094,1.3489415783854424,4,4.jpg,
9,234.2643051771117,393.8855585831063,734.0,37.52022222077274,25.086139177185096,1.4956555074403786,4,4.jpg,
10,237.31666666666666,588.3166666666667,480.0,33.12341669424564,18.598307564860498,1.7809909089162916,4,4.jpg,
11,255.01179245283018,915.8997641509434,848.0,41.52904913899766,26.046866374979484,1.5943971355759823,4,4.jpg,
12,264.89275766016715,636.058495821727,718.0,38.71570708949324,23.808371397028445,1.6261384050118355,4,4.jpg,
13,261.14195583596216,533.3659305993691,317.0,20.928376550156468,19.622107617651668,1.0665712857129428,4,4.jpg,
14,269.4366391184573,659.6363636363636,726.0,37.67170383536145,24.713152956001856,1.5243584621691288,4,4.jpg,
15,278.76933158584535,693.7916120576671,763.0,40.19298198421588,24.307021104958515,1.6535544117340117,4,4.jpg,
16,280.751968503937,552.998687664042,762.0,39.70909250665934,24.56186058918847,1.6166972515159665,4,4.jpg,
17,285.6175595238095,716.5089285714286,672.0,37.93130913011306,22.716535989164456,1.6697664268973882,4,4.jpg,
18,279.68382352941177,467.30882352941177,272.0,22.729170437924168,15.267053025702344,1.4887726137886088,4,4.jpg,
19,290.29442282749676,447.41634241245134,771.0,39.451061481223114,25.0074572891217,1.5775718828632936,4,4.jpg,
20,293.473604826546,677.5067873303168,663.0,38.9445427208755,21.971426643210886,1.7725086018895029,4,4.jpg,
21,301.7722132471729,659.3764135702746,619.0,37.873787978887826,20.928932030001434,1.8096378699398563,4,4.jpg,
22,328.09934640522874,772.8248366013072,765.0,40.183464427914586,24.374257077222445,1.648602634353345,4,4.jpg,
23,323.2586705202312,610.4263005780347,692.0,37.211984978133266,23.77558267129602,1.5651345118476887,4,4.jpg,
24,321.7484662576687,851.8312883435583,326.0,22.053375781170264,18.87860561602447,1.1681676194586637,4,4.jpg,
25,337.6547455295736,641.6121045392022,727.0,37.18303130858632,25.12190910600974,1.480103727454825,4,4.jpg,
26,344.7911908646003,759.5856443719413,613.0,38.57793563778358,20.49385394039895,1.882414881553147,4,4.jpg,
27,344.12103746397696,263.7968299711816,694.0,36.260619775748985,24.6451819907393,1.471306634675058,4,4.jpg,
28,344.449423815621,680.7580025608195,781.0,39.74799211915831,25.092303053993415,1.5840711007526453,4,4.jpg,
29,342.52428393524286,716.9165628891657,803.0,41.395323949864185,24.893996544633893,1.6628637300420648,4,4.jpg,
30,350.02089552238806,580.0776119402985,670.0,37.986971754793174,22.939571193796475,1.6559582319074018,4,4.jpg,
31,351.72325249643364,391.99286733238233,701.0,36.66948935365401,24.4880167808019,1.497446268592977,4,4.jpg,
32,350.7406639004149,600.3215767634855,482.0,26.03556933635551,24.02590656427173,1.0836456583524843,4,4.jpg,
33,365.39481268011525,693.7579250720461,347.0,25.43961539619693,17.377304169510342,1.463956385181567,4,4.jpg,
34,399.22622478386165,522.9121037463977,694.0,38.43597817578226,23.222851903804578,1.655092937551108,4,4.jpg,
35,412.9557867360208,961.185955786736,769.0,38.16612282099768,25.694220129514378,1.4853972071780106,4,4.jpg,
36,426.40460947503203,642.348271446863,781.0,39.44757116885068,25.307027026425292,1.5587595938337602,4,4.jpg,
37,420.48417721518985,513.2215189873418,316.0,29.397298257424975,13.910094588674557,2.113378745918804,4,4.jpg,
38,424.07234042553193,451.0510638297872,235.0,18.706588505938196,16.36491480164116,1.14309110268403,4,4.jpg,
39,447.08040935672517,614.8201754385965,684.0,40.82660235063515,21.57823745076353,1.8920267442506304,4,4.jpg,
40,443.27878787878785,428.77272727272725,660.0,38.37945745799015,22.02261839328087,1.7427290784686973,4,4.jpg,
41,439.1203703703704,454.98148148148147,216.0,20.47146174017228,13.567953060156514,1.5088098882276153,4,4.jpg,
42,442.59375,667.5535714285714,224.0,18.457298669144922,15.560899153668277,1.186133171796429,4,4.jpg,
43,457.13026819923374,656.1085568326947,783.0,39.93804520562906,25.172244639800898,1.5865905395850688,4,4.jpg,
44,455.03731343283584,515.0641791044776,670.0,37.36332817125243,23.17076979187075,1.6125199338159668,4,4.jpg,
45,464.5526932084309,450.5550351288056,427.0,28.818460904335097,18.967200956589174,1.5193839602529025,4,4.jpg,
46,462.0948012232416,624.9510703363915,327.0,21.997878598193335,19.401990333994004,1.1337949467818829,4,4.jpg,
47,475.1230982019364,228.6210235131397,723.0,39.55926452265259,23.41031484425964,1.6898219774414,4,4.jpg,
48,474.0678513731826,528.4571890145396,619.0,38.002551770009326,21.008199127153254,1.8089390499393516,4,4.jpg,
49,482.0249042145594,413.16858237547893,522.0,30.2634593128427,22.054863575047815,1.3721898215267962,4,4.jpg,
50,485.6794117647059,491.5764705882353,680.0,38.708277622701935,22.56132982218521,1.715691314642232,4,4.jpg,
51,480.9398907103825,635.7964480874317,732.0,38.82089142386948,24.17601993739184,1.6057602336696932,4,4.jpg,
52,486.9258114374034,272.6831530139103,647.0,36.21109271687984,22.890958223184498,1.5818950156575096,4,4.jpg,
53,490.207062600321,562.2166934189406,623.0,34.67561758338183,22.957366015578096,1.5104353678837599,4,4.jpg,
54,496.5335820895522,766.7363184079602,804.0,40.79151405484944,25.21739308828598,1.6175944084322489,4,4.jpg,
55,510.5970149253731,952.0037313432836,804.0,41.00746467944943,25.07358747086367,1.6354845403395681,4,4.jpg,
56,501.50212765957446,506.83829787234043,235.0,19.468433820636236,15.845529332505086,1.228638905782669,4,4.jpg,
57,510.9186507936508,930.4166666666666,504.0,31.879281566414253,20.245378855065738,1.574644850789617,4,4.jpg,
58,512.1273712737127,406.2845528455285,369.0,28.227550968428787,16.75722941470999,1.684499881803242,4,4.jpg,
59,521.8434343434343,418.449494949495,396.0,28.782438808256924,17.77146780366599,1.619587032778437,4,4.jpg,
60,518.7704194260485,478.54746136865344,453.0,33.61412124909577,17.26950427975831,1.9464438992898647,4,4.jpg,
61,525.0866965620329,442.2122571001495,669.0,36.313594568923676,23.590752278586354,1.539314818793889,4,4.jpg,
62,528.2310838445808,714.278118609407,489.0,28.685626296731144,22.811934639366406,1.2574832757598975,4,4.jpg,
63,538.0915492957746,480.13239436619716,710.0,38.87970486208078,23.31219042735974,1.6677842857894054,4,4.jpg,
64,546.2660550458716,740.1024464831804,654.0,39.45697237810529,21.22919324715816,1.8586185503486896,4,4.jpg,
65,550.7363770250369,440.92930780559647,679.0,38.22585457468884,22.823425965596368,1.6748517348933425,4,4.jpg,
66,548.3591954022988,712.3649425287356,348.0,23.3202799218679,19.388741505658107,1.2027742963648504,4,4.jpg,
67,552.6764705882352,623.4882352941177,340.0,26.84265169354467,17.020604495571927,1.5770680589239967,4,4.jpg,
